sp_name,length,url,field_name,area_name,executor_name,overload_name,sp_city_name,active,coordinates,hzz
Ekonomija,2,www.efst.hr/content.php?k=studiji&p=80,Ekonomija,Društvene znanosti,Ekonomski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,1,www.efzg.unizg.hr/default.aspx?id=15522,Ekonomija,Društvene znanosti,Ekonomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,0,"16.011736,45.816088","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Ekonomija; smjerovi: Gospodarstvo Europske unije, Ekonomija razvoja",2,www.efri.uniri.hr/hr/study/diplomski-studij,Ekonomija,Društvene znanosti,Ekonomski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4347475,45.33155530000001","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Eksperimentalna biologija,2,www.pmf.unizg.hr/biol/diplomski_studij,Biologija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9698015,45.81057029999999","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Elektronička kompozicija,1,www.muza.unizg.hr/index.php?option=com_content&view=article&id=120&Itemid=235,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Elektronika i računalno inženjerstvo,2,www.fesb.hr/studiji/elektrotehnika/diplomski,Elektrotehnika,Tehničke znanosti,"Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu",Sveučilište u Splitu,Split,1,"16.469189,43.511287",Stručnjaci iz područja informatike i tehničkih znanosti
Elektrotehničke i komunikacijske tehnologije u pomorstvu,2,www.unidu.hr/odjeli.php?idizbornik=143,Elektrotehnika,Tehničke znanosti,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,Dubrovnik,1,"18.1003189,42.6440794",Stručnjaci iz područja informatike i tehničkih znanosti
Elektrotehnika,2,www.riteh.uniri.hr/nast/novi_progr/sv_el_d/,Elektrotehnika,Tehničke znanosti,Tehnički fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4258374,45.3375315",Stručnjaci iz područja informatike i tehničkih znanosti
"Elektrotehnika; smjerovi: Komunikacije i informatika, Elektroenergetika",2,www.etfos.unios.hr/studiji/sveucilisni-diplomski-studij,Elektrotehnika,Tehničke znanosti,Elektrotehnički fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.695619,45.556784",Stručnjaci iz područja informatike i tehničkih znanosti
"Engleski jezik i književnost ; smjerovi: nastavnički, filološki, prevoditeljski",2,web.ffos.hr/?id=164,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6808884,45.558785","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
